bird,tsi-s-qua,ᏥᏍᏆ
dog,gi-tli,ᎩᏟ
cat,we-sa,ᏪᏌ
rabbit,tsi-s-du,ᏥᏍᏚ
squirrel,sa-lo-li,ᏌᎶᎵ
mouse,tsi-s-de-tsi,ᏥᏍᏕᏥ
snake,i-na-dv,ᎢᎾᏛ
fish,a-tsa-di,ᎠᏣᏗ
wolf,wa-ya,ᏩᏯ
frog,wa-lo-si,ᏩᎶᏏ
duck,ka-wo-nu,ᎧᏬᏄ
chicken,tsi-ta-ga,ᏥᏔᎦ
horse,so-qui-li,ᏐᏈᎵ
cow,wa-ga,ᏩᎦ
crawfish,tsi-s-dv-na,ᏥᏍᏛᎾ
deer,a-wi-i-na-ge-e-hi,ᎠᏫᎢᎾᎨᎡᎯ
bear,a-li-so-qua-lv-di,ᎠᎵᏐᏆᎸᏗ
buffalo,ya-na-sa,ᏯᎾᏌ
sheep,a-wi-u-no-de-na,ᎤᏃᏕᎾ
skunk,di-la,ᏗᎵ
beaver,do-ya,ᏙᏯ
turkey,gv-na,ᎬᎾ
eagle,wo-ha-li,ᏬᎭᎵ
hawk,ta-wo-di,ᏔᏬᏗ
red,gi-ga-ge,ᎩᎦᎨ
green,i-tse-i-yu-s-di,ᎢᏤᎢᏳᏍᏗ
blue,sa-go-ni-ge,ᏌᎪᏂᎨ
yellow,da-lo-ni-ge,ᏓᎶᏂᎨ
orange,a-da-lo-ni-ge,ᎠᏓᎶᏂᎨ
white,u-ne-gv,ᎤᏁᎬ
black,gv-hna-ge,ᎬᎿᎨ
pink,gi-ga-ge-i-yu-s-di,ᎩᎦᎨᎢᏳᏍᏗ
purple,gi-ge-s-di-a-de-ha-lv-ge-u-we-ti-ge,ᎩᎨᏍᏗᎠᏕᎭᎸᎨᎤᏪᏘᎨ
brown,wo-di-ge,ᏬᏗᎨ
silver,a-de-lv-u-ne-gv,ᎠᏕᎸᎤᏁᎬ
gold,a-de-lv-da-lo-ni-ge,ᎠᏕᎸᏓᎶᏂᎨ
Monday,u-na-do-da-quo-nv-hi,ᎤᎾᏙᏓᏉᏅᎢ
Tuesday,ta-li-ne-i-ga,ᏔᎵᏁᎢᎦ
Wednesday,tso-i-ne-i-ga,ᏦᎢᏁᎢᎦ
Thursday,nv-gi-ne-i-ga,ᏅᎩᏁᎢᎦ
Friday,tsu-na-gi-lo-s-di,ᏧᎾᎩᎶᏍᏗ
Saturday,u-na-do-da-qui-de-na,ᎤᎾᏙᏓᏈᏕᎾ
Sunday,u-na-do-da-qua-s-gv,ᎤᎾᏙᏓᏆᏍᎬ
January,u-no-lv-ta-ni,ᎤᏃᎸᏔᎾ
February,ka-ga-li,ᎧᎦᎵ
March,a-na-yi-li-sv,ᎠᎾᏱᎵᏒ
April,gu-wo-ni,ᎧᏬᏂ
May,a-na-s-gv-ti,ᎠᏂᏍᎬᏘ
June,de-ha-lu-yi,ᏕᎭᎷᏱ
July,gu-ye-quo-ni,ᎫᏰᏉᏂ
August,ga-lo-ni,ᎦᎶᏂ
September,du-li-s-di,ᏚᎵᏍᏗ
October,du-ni-no-di,ᏚᏂᏃᏗ
November,nv-da-de-qua,ᏅᏓᏕᏆ
December,v-s-gi-yi,ᎥᏍᎩᏱ
Banana,qua-ne-na,ᏆᏁᎾ
Apple,sv-ga-ta,ᏒᎦᏔ
Pear,di-ga-dv-di,ᏗᎦᏛᏗ
Bread,ga-du,ᎦᏚ
Grape,te-lv-la-di,ᏖᎸᎳᏗ
Corn,se-lu,ᏎᎷ
Milk,u-nv-di,ᎤᏅᏗ
Juice,ga-ne-hv,ᎦᏁᎲ
Water,a-ma,ᎠᎹ
Coffee,ka-wi,ᎧᏫ
Meat,ha-wi-ya,ᎭᏫᏯ
Steak,wa-ga-ha-wi-ya,ᏩᎦᎭᏫᏯ
Beer,a-wo-gi-lv-s-gi,ᎠᏬᎩᎸᏍᎩ
Soup,u-ga-ma,ᎤᎦᎹ
Pickle,tsu-na-tso-ya-s-di,ᏧᎾᏦᏯᏍᏗ
Bacon,ha-wi-ya-u-ka-yo-sv,ᎭᏫᏯᎤᎧᏲᏒ
Egg,u-we-tsi,ᎤᏪᏥ
Toast,ga-le-yv-ta-nv,ᎦᎴᏴᏔᏅ
Jelly,tse-li,ᏤᎵ
Butter,go-tlv-nv,ᎪᏢᏅ
Syrup,wa-du-li-si,ᏩᏚᎵᏏ
Sugar,ka-li-se-tsi,ᎧᎵᏎᏥ
one,sa-quu,ᏌᏊ
two,ta-li,ᏔᎵ
three,tso-i,ᏦᎢ
four,nv-gi,ᏅᎩ
five,hi-s-gi,ᎯᏍᎩ
six,su-da-li,ᏑᏓᎵ
seven,ga-li-quo-gi,ᎦᎵᏉᎩ
eight,tsu-ne-la,ᏧᏁᎳ
nine,so-ne-la,ᏐᏁᎳ
ten,s-go-hi,ᏍᎪᎯ
eleven,sa-du,ᏌᏚ
twelve,ta-li-du,ᏔᎵᏚ
thirteen,tso-ga-du,ᏦᎦᏚ
fourteen,ni-ga-du,ᏂᎦᏚ
fifteen,s-gi-ga-du,ᏍᎩᎦᏚ
sixteen,da-la-du,ᏓᎳᏚ
seventeen,ga-li-qua-du,ᎦᎵᏆᏚ
eighteen,ne-la-du,ᏁᎳᏚ
nineteen,so-ne-la-du,ᏐᏁᎳᏚ
twenty,ta-la-s-go-hi,ᏔᎳᏍᎪᎯ
thirty,tso-s-go-hi,ᏦᏍᎪᎯ
forty,nv-gi-s-go-hi,ᏅᎩᏍᎪᎯ
fifty,hi-s-gi-s-go-hi,ᎯᏍᎩᏍᎪᎯ
sixty,su-da-li-s-go-hi,ᏑᏓᎵᏍᎪᎯ
seventy,ga-li-qua-s-go-hi,ᏑᏓᎵᏍᎪᎯ
eighty,ne-la-s-go-hi,ᏁᎳᏍᎪᎯ
ninety,so-ne-la-s-go-hi,ᏐᏁᎳᏍᎪᎯ
rain,a-ga-s-gv,ᎠᎦᏍᎬ
snow,u-na-tsi,ᎤᎾᏥ
fog,u-gv-ha-dv,ᎤᎬᎭᏛ
lightning,a-na-ga-li-s-gv,ᎠᎾᎦᎵᏍᎬ
cloud,u-lo-gi-lv,ᎤᎶᎩᎸ
dew,u-hi-sa-dv,ᎤᎯᏌᏛ
hail,ga-ne-so-s-gv,ᎦᏁᏐᏍᎬ
tornado,u-no-le,ᎤᏃᎴ
flood,ga-no-hu-gi-s-gv,ᎦᏃᎱᎩᏍᎬ
cold,u-yv-tlv,ᎤᏴᏢ
hot,u-di-le-gi,ᎤᏗᎴᎩ
thunder,a-yv-da-qua-lo-s-gv,ᎠᏴᏓᏆᎶᏍᎬ
