Monday,u-na-do-da-quo-nv-hi,ᎤᎾᏙᏓᏉᏅᎢ
Tuesday,ta-li-ne-i-ga,ᏔᎵᏁᎢᎦ
Wednesday,tso-i-ne-i-ga,ᏦᎢᏁᎢᎦ
Thursday,nv-gi-ne-i-ga,ᏅᎩᏁᎢᎦ
Friday,tsu-na-gi-lo-s-di,ᏧᎾᎩᎶᏍᏗ
Saturday,u-na-do-da-qui-de-na,ᎤᎾᏙᏓᏈᏕᎾ
Sunday,u-na-do-da-qua-s-gv,ᎤᎾᏙᏓᏆᏍᎬ
January,u-no-lv-ta-ni,ᎤᏃᎸᏔᎾ
February,ka-ga-li,ᎧᎦᎵ
March,a-na-yi-li-sv,ᎠᎾᏱᎵᏒ
April,gu-wo-ni,ᎧᏬᏂ
May,a-na-s-gv-ti,ᎠᏂᏍᎬᏘ
June,de-ha-lu-yi,ᏕᎭᎷᏱ
July,gu-ye-quo-ni,ᎫᏰᏉᏂ
August,ga-lo-ni,ᎦᎶᏂ
September,du-li-s-di,ᏚᎵᏍᏗ
October,du-ni-no-di,ᏚᏂᏃᏗ
November,nv-da-de-qua,ᏅᏓᏕᏆ
December,v-s-gi-yi,ᎥᏍᎩᏱ
