One,sa-quu,ᏌᏊ
Two,ta-li,ᏔᎵ
Three,tso-i,ᏦᎢ
Four,nv-gi,ᏅᎩ
Five,hi-s-gi,ᎯᏍᎩ
Six,su-da-li,ᏑᏓᎵ
Seven,ga-li-quo-gi,ᎦᎵᏉᎩ
Eight,tsu-ne-la,ᏧᏁᎳ
Nine,so-ne-la,ᏐᏁᎳ
Ten,s-go-hi,ᏍᎪᎯ
Eleven,sa-du,ᏌᏚ
Twelve,ta-li-du,ᏔᎵᏚ
Thirteen,tso-ga-du,ᏦᎦᏚ
Fourteen,ni-ga-du,ᏂᎦᏚ
Fifteen,s-gi-ga-du,ᏍᎩᎦᏚ
Sixteen,da-la-du,ᏓᎳᏚ
Seventeen,ga-li-qua-du,ᎦᎵᏆᏚ
Eighteen,ne-la-du,ᏁᎳᏚ
Nineteen,so-ne-la-du,ᏐᏁᎳᏚ
Twenty,ta-la-s-go-hi,ᏔᎳᏍᎪᎯ
Thirty,tso-s-go-hi,ᏦᏍᎪᎯ
Forty,nv-gi-s-go-hi,ᏅᎩᏍᎪᎯ
Fifty,hi-s-gi-s-go-hi,ᎯᏍᎩᏍᎪᎯ
Sixty,su-da-li-s-go-hi,ᏑᏓᎵᏍᎪᎯ
Seventy,ga-li-qua-s-go-hi,ᏑᏓᎵᏍᎪᎯ
Eighty,ne-la-s-go-hi,ᏁᎳᏍᎪᎯ
Ninety,so-ne-la-s-go-hi,ᏐᏁᎳᏍᎪᎯ
